signal_col,trades,win_rate,avg_pnl_points,median_pnl_points,total_pnl_points,profit_factor,avg_bars_held,max_drawdown_points
sig_reversal_after_cross_110,4,0.75,204.0625,211.875,816.25,109.83333333333333,21.25,-7.5
sig_reversal_after_cross_120,4,0.75,208.75,317.5,835.0,5.175,15.0,-200.0
sig_first_cross_120,15,0.8,99.93333333333334,20.0,1499.0,3.7217430776214253,15.2,-200.0
sig_first_cross_130,10,0.7,118.625,58.5,1186.25,3.1538810712664547,14.0,-330.75
sig_first_cross_140,5,0.6,84.0,20.0,420.0,2.05,9.8,-200.0
sig_reversal_after_cross_100,7,0.42857142857142855,81.0,-7.5,567.0,1.9333333333333333,16.571428571428573,-200.0
sig_first_cross_100,32,0.5625,35.5234375,20.0,1136.75,1.4222696879643388,15.03125,-800.0
sig_first_cross_110,24,0.5833333333333334,32.541666666666664,20.0,781.0,1.4003588363449955,15.75,-823.5
sig_first_cross_160,3,0.3333333333333333,-126.66666666666667,-200.0,-380.0,0.05,6.666666666666667,-400.0
sig_first_cross_150,5,0.2,-156.0,-200.0,-780.0,0.025,5.0,-800.0
sig_reversal_after_cross_140,1,1.0,400.0,400.0,400.0,,21.0,0.0
sig_reversal_after_cross_130,3,1.0,345.0,400.0,1035.0,,19.0,0.0
sig_reversal_after_cross_150,0,,,,0.0,,,
sig_reversal_after_cross_160,0,,,,0.0,,,
sig_sustain_120_2,0,,,,0.0,,,
sig_sustain_120_3,0,,,,0.0,,,
sig_sustain_130_2,0,,,,0.0,,,
sig_sustain_130_3,0,,,,0.0,,,
sig_sustain_140_2,0,,,,0.0,,,
sig_sustain_140_3,0,,,,0.0,,,
