bear_window_id,label,bars
1.0,ACTIVE_BEAR,8
1.0,EXHAUSTION,22
1.0,PRE_BEAR,8
1.0,RECOVERY,9
2.0,ACTIVE_BEAR,22
2.0,PRE_BEAR,8
2.0,RECOVERY,7
3.0,ACTIVE_BEAR,21
3.0,PRE_BEAR,8
3.0,RECOVERY,10
4.0,ACTIVE_BEAR,18
4.0,PRE_BEAR,8
4.0,RECOVERY,9
5.0,ACTIVE_BEAR,17
5.0,PRE_BEAR,8
5.0,RECOVERY,9
6.0,ACTIVE_BEAR,21
6.0,EXHAUSTION,49
6.0,PRE_BEAR,7
6.0,RECOVERY,9
7.0,ACTIVE_BEAR,161
7.0,EXHAUSTION,90
7.0,PRE_BEAR,7
7.0,RECOVERY,10
8.0,ACTIVE_BEAR,16
8.0,EXHAUSTION,4
8.0,PRE_BEAR,10
8.0,RECOVERY,10
9.0,ACTIVE_BEAR,28
9.0,PRE_BEAR,9
9.0,RECOVERY,10
10.0,ACTIVE_BEAR,27
10.0,EXHAUSTION,2
10.0,PRE_BEAR,9
10.0,RECOVERY,10
11.0,ACTIVE_BEAR,45
11.0,EXHAUSTION,4
11.0,PRE_BEAR,8
11.0,RECOVERY,10
12.0,ACTIVE_BEAR,49
12.0,PRE_BEAR,9
12.0,RECOVERY,10
