column,exists,nonnull_pct,min,p25,median,p75,max,nunique
bear_prob,1,100.0,0.1702821938825316,0.3091165874949605,0.4079262027487332,0.529708623851538,0.8463313364718373,101
exhaust_prob,1,100.0,0.0043005502132462,0.0138749014630614,0.0225680177586577,0.0538294496835363,0.4849619997790792,101
daily_model_rsi,1,100.0,30.34420577882044,48.75346803692307,57.96803075933696,61.19617639198446,84.81742669146492,99
daily_model_adx,1,100.0,10.774959515993295,14.950270217942226,16.832670087345072,36.20670683415627,52.29122706936608,101
daily_model_ema20_slope_5,1,100.0,-213.88748893940283,68.17793958869697,118.92077692361454,203.08406648026903,321.31281707362723,101
daily_model_ema50_slope_5,1,100.0,-86.86143800631908,61.633765619691985,100.63401747998432,129.49540629445983,242.51420344251528,101
daily_model_atr,1,100.0,113.88873806929332,182.3311858061332,237.83463290687408,297.2656301391592,436.07302778045926,101
range_pos,1,100.0,-2.4592391304347827,0.21443400654311573,0.4652862362971985,0.7652240992090615,1.5113350125944585,1588
hh_8,1,100.0,8527.0,12254.75,15090.0,20664.375,26349.0,665
high,1,100.0,8352.0,12214.875,15041.5,20400.875,26349.0,1520
close,1,100.0,8319.5,12196.25,15027.5,20322.25,26318.5,1515
open,1,100.0,8319.0,12195.875,15028.0,20384.125,26319.25,1524
h1_rsi,1,100.0,7.747501427861209,36.56972581280914,47.1557341230262,56.272379957048756,86.03367841678345,1601
h1_ema_20,1,100.0,8481.365513908528,12171.562650855602,15065.488505607049,20601.02516498424,26218.02173142087,1619
h1_ret_4,1,100.0,-0.0402813696079445,-0.00306302475987785,-0.0001995464852607,0.0019897913986227003,0.0299359634588687,1611
rsi70_streak,1,100.0,0.0,0.0,0.0,0.0,9.0,6
ob_streak_not_making_higher_high,1,100.0,0.0,0.0,0.0,0.0,0.0,1
rsi_rolling_over,1,100.0,0.0,0.0,0.0,1.0,1.0,2
